chr	start	end	score
chr1	170593505	170593910	606.407180801916
chr1	170593972	170594493	511.205613791777
chr1	170665593	170665953	347.195790235426
chr1	170771762	170771977	401.430726910022
chr1	170944447	170944745	449.001180464070
chr1	170945170	170945892	657.677288004852
chr1	170960666	170960922	417.924555586317
chr1	171274972	171275299	360.307942868521
chr1	171275606	171275828	307.190971903776
chr1	171285388	171285899	426.767912333526
chr1	171295019	171295455	481.953220711498
chr1	171295921	171296236	516.354435483738
chr1	171399813	171400301	464.539873480226
chr1	171415555	171415814	477.899108334441
chr1	171488498	171488795	679.032681880185
chr1	171496288	171496652	571.598233138463
chr1	172774596	172774887	576.4625497626
chr1	172775033	172775687	536.082246257103
chr1	172775844	172776320	570.50934019157
chr1	172821230	172822406	536.332407431253
chr1	173119781	173120605	521.0582687518
chr1	174868996	174869215	569.283839266634
chr1	175033811	175034065	459.515498020661
chr1	175034158	175034545	452.961130204860
chr1	175738702	175738952	573.7962021601
chr1	175760933	175761156	433.690136452859
chr1	175762112	175762728	545.214426767104
chr1	175772053	175773064	559.112971829158
chr1	175777451	175777999	486.529947829405
chr1	178333795	178334213	291.304846309449
chr1	178345941	178346341	521.382812126345
chr1	178657747	178658186	335.451381340255
chr1	178658415	178659101	518.977495233235
chr1	179127877	179128298	491.959072865168
chr1	179582778	179583027	621.465475213022
chr1	179584112	179584669	349.547763946739
chr1	179827452	179827811	315.788224561917
chr1	180265898	180267357	505.288318501497
chr1	180267596	180268176	572.897516373487
chr1	180268239	180268449	483.741120572947
chr1	180268770	180269054	378.908996483359
chr1	180269115	180269530	426.095205704319
chr1	180282523	180284074	661.795748033257
chr1	180289457	180289702	734.076057533018
chr1	180304898	180305375	363.438164308597
chr1	180316102	180316472	694.242916467708
chr1	180319518	180320190	291.494771048699
chr1	180324119	180325006	602.618010592117
chr1	180794260	180794504	615.476314922512
chr1	181335880	181336825	342.96697801562
chr1	181337090	181337309	717.024866825364
chr1	181554554	181554816	605.895860670912
chr1	182354523	182354806	452.660677613664
chr1	182497994	182498281	342.88978724334
chr1	182512570	182512795	327.659588411123
chr1	182649235	182649627	518.676571609751
chr1	183688510	183688905	530.064280864199
chr1	183703691	183704339	358.878831513933
chr1	183735627	183736162	581.471188962568
chr1	184244567	184244853	444.889408282134
chr1	184446645	184447035	600.084154991592
chr1	184461020	184461888	542.108341897877
chr1	184504536	184505087	384.641961809403
chr1	184518642	184519074	479.448525845499
chr1	185095049	185096007	323.356495179221
chr1	186577525	186578170	409.161989560239
chr1	187404033	187404503	330.60090395665
chr1	187410840	187411706	352.261727432929
chr1	187546009	187546438	495.188142998828
chr1	187766660	187766985	293.086337922826
chr1	189851202	189851589	465.419992491093
chr1	189907748	189908299	478.915500242383
chr1	189971837	189973003	469.490682747253
chr1	189996557	189996770	385.824040974601
chr1	190067767	190068201	615.228385330412
chr1	190070074	190070472	461.031367076168
chr1	190070649	190070981	652.636950445796
chr1	190720963	190721402	387.270926731451
chr1	191115801	191116118	337.408148711278
chr1	191116168	191116675	511.279563158088
chr1	191130668	191131194	575.060504601445
chr1	191154810	191155064	529.788201894589
chr1	191312599	191313005	500.959312179931
chr1	191336280	191336632	484.574337187618
chr1	191336774	191337129	438.547798933090
chr1	191387535	191388287	354.826345821185
chr1	191521058	191521271	478.600211100614
chr1	191521319	191521679	405.669535498635
chr1	191525117	191525592	590.299894388806
chr1	191532197	191533085	759.300067179626
chr1	191555212	191555817	447.267204521156
chr1	191585655	191585904	464.210938567134
chr1	191632758	191633040	700.633791054133
chr1	191685921	191686137	334.101449029262
chr1	191731390	191732043	437.692815817239
chr1	191732115	191732525	480.798140036556
chr1	191891895	191892145	492.457793321638
chr1	192311766	192312017	510.605311259904
chr1	192976113	192976591	415.058662308358
chr1	192976646	192977018	643.994857141555
chr1	192983829	192984304	502.509303861661
chr1	193049982	193050266	305.966364897196
chr1	193168208	193168542	572.756864525224
chr1	193183252	193184211	444.324791429038
chr1	193204850	193205275	332.894359432222
chr1	193220865	193221656	498.726161350803
chr1	193225509	193225792	471.946763909954
chr1	194255040	194255634	400.75622124218
chr1	194374477	194375135	332.428372633017
chr19	3108563	3109244	487.764398096285
chr19	3114391	3114606	627.992176851326
chr19	3114658	3114978	460.312667616948
chr19	3115145	3115587	478.112309672867
chr19	3121703	3122144	597.570750983838
chr19	3438624	3439092	519.300289295265
chr19	3442580	3442860	665.24564789759
chr19	3462607	3463445	445.229622388525
chr19	3475619	3475840	773.296071496588
chr19	3483486	3483790	491.730358296797
chr19	3484070	3484330	395.206237083212
chr19	3497632	3497933	564.561941855148
chr19	4346440	4346726	553.551057690283
chr19	4357988	4358280	472.203764416922
chr19	4358454	4358773	512.536295208183
chr19	4358828	4359044	684.114541521738
chr19	4359096	4359367	637.688325543895
chr19	4367081	4367513	500.257495496768
chr19	4505364	4506059	419.441169085809
chr19	4508416	4508952	551.570178219245
chr19	4574441	4574666	405.487507156985
chr19	4574949	4575204	477.626540209269
chr19	4624493	4624957	491.116922097161
chr19	5277674	5277884	377.153243114966
chr19	5427486	5427747	294.639254916012
chr19	5591648	5592328	421.022895829255
chr19	5620508	5621549	612.27557559531
chr19	5623465	5623793	469.340816299584
chr19	5623871	5624157	459.321890635902
chr19	5625703	5625993	529.554486634595
chr19	5634271	5634678	713.057157021172
chr19	5634817	5635305	537.563085605321
chr19	5635495	5635827	589.450635198966
chr19	5667496	5667820	457.851123003727
chr19	5677522	5677955	613.899211207577
chr19	5744672	5745510	431.01112535971
chr19	5745599	5745840	510.343318439106
chr19	6848335	6848810	569.872966326807
chr19	6850080	6850404	480.131393738716
chr19	7020074	7020838	497.058883224827
chr19	7021623	7022552	672.883717099706
chr19	7022929	7023693	591.948535262066
chr19	7033447	7034096	511.885318030698
chr19	7096988	7097284	536.652429195217
chr19	7715443	7715694	570.642125528669
chr19	7729442	7729875	334.885400425679
chr19	7730197	7730587	412.063802455459
chr19	7968494	7968745	282.818780833819
chr19	7979177	7980069	638.35692384484
chr19	9159864	9160116	435.168106400885
chr19	9201240	9201719	392.892449370378
chr19	9221880	9222134	530.944893295637
chr19	9247663	9248165	597.808470618658
chr19	9266920	9267258	573.993771862901
chr19	9267551	9267766	727.990200561704
chr19	9756895	9757268	618.876455873992
chr19	9757374	9758057	416.950465497622
chr19	9995470	9995832	454.714386533349
chr19	10138214	10138543	458.735424180466
chr19	10150335	10150640	702.654310782066
chr19	11245264	11245879	377.446878885540
chr19	11736899	11737117	605.196188817668
chr19	11737984	11738313	325.565065881641
chr19	11850359	11850985	413.268035316403
chr19	11882676	11882898	501.011672949487
chr19	16591926	16592390	480.529543137835
chr19	16689669	16690286	579.522992709356
chr19	16777868	16778197	460.171418055741
chr19	17041098	17041881	527.827659390587
chr19	17041993	17042722	513.807638119422
chr19	17055033	17055258	470.321170116221
chr19	17060519	17060879	522.196202312357
chr19	17067362	17067646	490.965864743486
chr19	17067909	17068128	473.902049911024
chr19	17069795	17070010	461.803149113060
chr19	17070710	17071366	439.901894584124
chr19	17158922	17159138	470.01889283943
chr19	17425786	17426072	394.65662161243
chr19	17455715	17456006	325.308893811031
chr19	17847385	17848292	644.66203618427
chr19	19827481	19827916	444.376787281209
chr19	19926346	19926748	683.297497268852
chr19	20600307	20600701	678.915496889487
chr19	20741523	20741772	435.029407769133
chr19	20741952	20742249	386.494419424163
chr19	20751092	20751546	394.612112280648
chr19	20922088	20922405	422.816372261976
chr19	20933792	20934306	396.964409654395
chr19	21087906	21088190	425.711169356487
chr19	22310862	22311094	312.033373777401
chr19	22339233	22339587	489.34206348619
chr19	22407572	22407795	484.894721932762
chr19	22408823	22409140	590.735143760501
chr19	22415258	22415595	462.185410167167
chr19	24372211	24372494	421.429997778354
chr19	24656793	24657305	480.427214301755
chr19	24681000	24681436	470.253141036871
chr19	24682746	24682974	266.52744632796
chr19	26604111	26604434	461.400601708116
chr19	26604640	26604908	423.642132302666
chr19	28258382	28258637	480.780038776589
chr19	28258692	28258947	583.109474530642
chr19	28343660	28344136	705.12499977882
chr19	28347118	28347662	491.204160156158
chr19	28424065	28424892	533.291561675623
chr19	28424947	28425422	304.46003592508
chr19	28426603	28426955	397.423829450145
chr19	28427253	28427660	548.074270911684
chr19	28787358	28787897	604.558889751127
chr19	29286036	29286353	559.996835835145
chr19	29408888	29409172	540.066023376892
chr19	29413003	29413614	603.263925627619
chr19	29413794	29414125	427.097864724074
chr19	29419690	29420149	555.150168582071
chr19	29446460	29446747	609.533417452641
chr19	29458517	29458760	572.425797097118
chr19	29467729	29468055	366.215176875229
chr19	29530328	29530655	542.465135143009
chr19	31179036	31179440	448.686922529117
chr19	31179503	31180034	582.981254119744
chr19	31181389	31181707	559.23637375698
chr19	31182075	31182632	496.765672111629
chr19	31489693	31490120	351.109223187359
chr19	31494886	31495354	544.232767149234
chr19	31629223	31629797	408.168376085665
chr19	31632291	31632514	350.808663475936
chr19	31817066	31817316	357.247371015939
chr19	31819538	31819829	503.817121127789
chr19	31836065	31837039	390.111914203322
chr19	31838345	31839059	539.916586507468
chr19	31839133	31839537	515.741610248695
chr19	31842039	31842265	457.820334767614
chr19	31842426	31842892	566.827420499242
chr19	31861407	31861650	631.413377067018
chr19	31935934	31937112	386.001160411799
chr19	31942016	31942232	532.647046687301
chr19	33498573	33498973	348.023719639913
chr19	33726864	33727299	528.431634878955
chr19	33933635	33934116	547.837807735727
chr19	33939845	33940306	494.013369790694
chr19	33969436	33969800	622.306080220807
chr19	33980432	33980846	486.626735510303
chr19	34035203	34035596	612.433443712674
chr19	34041279	34041738	472.519729940598
chr19	34071075	34071331	741.926714442667
chr19	34071717	34072071	463.832813545545
chr19	34092058	34092286	406.166140395318
chr19	34092332	34092699	423.086128652355
chr19	34098856	34099344	459.819638223024
chr19	35857842	35858281	444.779925069797
chr19	35928391	35929302	590.330043304968
chr19	35957422	35957824	443.418577444014
chr19	35957872	35958165	619.143127201635
chr19	35958227	35958443	408.072572753007
chr19	36018587	36019491	625.625915668004
chr19	36027129	36027355	529.302304360809
chr19	36032054	36032448	375.393418068939
chr19	36032500	36032713	658.731425212404
chr19	36432690	36433097	500.938399375067
chr19	36486549	36486763	522.886354764819
chr19	36488026	36488454	537.226318818426
chr19	36666013	36666262	450.275754669073
chr19	36666438	36667108	587.067044240872
chr19	36667157	36667624	448.315981751093
chr19	36680001	36680355	530.816030264308
chr19	36783805	36784279	522.524926317877
chr19	36784353	36784752	716.830417597188
chr19	36920027	36920609	479.817593778432
chr19	36920700	36920981	593.370495873643
chr19	36926531	36927214	472.455119849629
chr19	37091772	37092026	627.096469902698
chr19	37345052	37345558	496.82035878756
chr19	37415889	37416575	341.349452894677
chr19	37912680	37912899	281.237948584441
chr19	39561365	39561893	655.431027045098
chr19	39566359	39566576	621.329638587438
chr19	39746600	39747125	645.909228434123
chr19	39807835	39808302	540.940710656663
chr19	39813452	39813736	565.029962940988
chr19	39814104	39814702	676.177186150783
chr19	39823816	39824177	681.923265168583
chr19	40381400	40381767	478.683095035336
chr19	40384585	40385025	462.032544688823
chr19	40388503	40388875	651.790187146059
chr19	40388987	40389460	509.929908966882
chr19	40611726	40612052	566.425733997147
chr19	40682290	40682545	538.815100501398
chr19	40682662	40683190	499.533584236999
chr19	40683378	40683927	407.586318480415
chr19	40684097	40684457	555.748201008325
chr19	40723511	40723835	517.097513499378
chr19	40724102	40724354	525.865697934513
chr19	41165390	41165710	641.889692023144
chr19	41472343	41472592	590.175045574218
chr19	41482207	41482495	337.72658187021
chr19	41482552	41483141	561.4973031643
chr19	41846373	41846911	469.154444364514
chr19	41938464	41938980	383.745941316412
chr19	42026417	42027069	516.739373858776
chr19	42089831	42090110	477.341891327337
chr19	42847529	42847929	546.606503950475
chr19	42850341	42850843	524.094214334905
chr19	42852686	42852896	669.434285221706
chr19	42852985	42853583	418.227623841547
chr19	42861564	42861813	446.290385724542
chr19	42861886	42862161	270.754703867324
chr19	42862823	42863039	536.044826067379
chr19	43104422	43105003	469.203318144187
chr19	43224353	43224968	509.044626159432
chr19	43231399	43231925	490.1901810995
chr19	43321634	43321915	404.320823168037
chr19	43322628	43322848	488.297524958066
chr19	43322902	43323306	480.775007137694
chr19	43335767	43336099	434.033890208247
chr19	43358086	43358557	619.845034866342
chr19	43393589	43393804	468.422302876359
chr19	43403822	43404511	446.772343908304
chr19	43443306	43443557	571.998629131455
chr19	43465058	43465467	527.726946459323
chr19	43724124	43724710	531.951036125213
chr19	43725497	43726005	604.212598213851
chr19	43754509	43754789	501.513016816087
chr19	43794904	43795427	475.509464525876
chr19	43795495	43795884	460.528561280229
chr19	44319355	44319615	609.305153600093
chr19	44326348	44326893	524.935844394614
chr19	44327024	44327308	437.84664018609
chr19	44327396	44327614	457.796988998579
chr19	44343405	44343878	538.119150568774
chr19	44344210	44344791	534.647238802039
chr19	44345901	44346185	400.086756341776
chr19	44351081	44351404	479.825236699294
chr19	44352192	44352686	591.498915868206
chr19	44353515	44353810	418.444109860303
chr19	45932112	45932431	569.398715537608
chr19	45932748	45933179	536.709059905621
chr19	46007786	46008123	456.989844007038
chr19	46008202	46008485	422.664315665851
chr19	46012897	46013317	531.611886979449
chr19	46047317	46047687	617.532114058531
chr19	46115479	46115731	509.203198531702
chr19	46323839	46324133	431.187353363787
chr19	46324200	46324421	308.935653254878
chr19	46397903	46398237	420.075367260857
chr19	46754296	46754651	385.403637509283
chr19	46790294	46791499	389.690266008291
chr19	46795024	46795453	444.807511099302
chr19	46809381	46809673	489.755074347034
chr19	46816815	46817249	515.100742690933
chr19	48975022	48975269	483.412325373362
chr19	53220890	53221644	761.582481951759
chr19	53221696	53221983	495.732813003775
chr19	53223056	53223385	381.428843052902
chr19	53257138	53257610	410.968449178492
chr19	53259931	53260430	492.884210592142
chr19	54469754	54470154	499.910939771447
chr19	54476147	54476501	502.494519998301
chr19	54476957	54477350	475.230799480081
chr19	54477410	54478455	531.595816886418
chr19	54479292	54479620	500.340678245837
chr19	54479727	54480041	627.949411642815
chr19	54483904	54484546	502.313149768697
chr19	54493440	54493840	825.126888602208
chr19	54505402	54505800	542.210979729823
chr19	54512532	54513650	483.094686497733
chr19	54540618	54541123	542.541290608902
chr19	54565911	54566170	489.182859086564
chr19	54569143	54569353	485.792392107393
chr19	54623885	54624104	482.017623469172
chr19	54624917	54625298	440.256867055355
chr19	54631413	54631851	354.686538194005
chr19	55661986	55662476	389.872484460328
chr19	55671139	55671467	306.640350569056
chr19	55671540	55672704	348.830973397062
chr19	55763206	55764032	483.236598712865
chr19	55906506	55906787	463.452329361015
chr19	56014833	56015075	455.91136245275
chr19	56261823	56262231	643.171799736614
chr19	56571586	56572238	361.474094194708
chr19	56572416	56572877	311.072169567701
chr19	56587043	56587366	393.434224872904
chr19	56631323	56631599	489.876035444696
chr19	56661012	56661256	602.866145147284
chr19	56664987	56665310	328.318981126103
chr19	56711204	56711517	521.364913670687
chr19	56750297	56750706	326.052946469955
chr19	56752801	56753051	538.72709550667
chr19	56756099	56756321	592.361771590487
chr19	56756680	56756973	519.484867928014
chr19	56757045	56757556	469.25587652443
chr19	56757753	56758113	497.799239414487
chr19	56767535	56767791	653.960601903883
chr19	56927830	56928190	575.674892593672
chr19	57433393	57434123	575.95193310979
chr19	57771460	57771790	544.104295081596
chr19	57772129	57772352	519.644334731492
chr19	57792536	57793225	551.15119604282
chr19	57840744	57840967	445.812532408998
chr9	8970565	8971420	662.776973306588
chr9	9221068	9221358	684.322632458754
chr9	9221425	9221894	371.756981067594
chr9	9222055	9222300	493.764679568706
chr9	9228231	9228454	565.044351921857
chr9	9232948	9233273	580.713844053891
chr9	16064182	16064662	666.325837691246
chr9	16333490	16333770	651.334495443213
chr9	20701934	20702170	421.232004019268
chr9	20724695	20724941	543.519124210133
chr9	20789708	20789987	537.687799360898
chr9	20794892	20795104	390.313686070109
chr9	20903504	20903818	651.143039679229
chr9	20962559	20963260	357.234260260401
chr9	21186215	21186531	570.211317080539
chr9	21186592	21187043	460.653267900887
chr9	21628348	21628933	564.774746033115
