sample	activity_exp_1	activity_exp_2
sample_269	Y	Y	
sample_270	Y	Y	
sample_271	N	N	
sample_272	N	N	
sample_273	Y	Y	
sample_274	N	N	
sample_275	N	N	
sample_276	Y	Y	
sample_277	N	N	
sample_278	N	N	
sample_279	Y	Y	
sample_280	N	N	
sample_281	N	N	
sample_282	N	N	
sample_283	Y	Y	
sample_284	Y	Y	
sample_285	N	N	
sample_286	N	Y	
sample_287	Y	Y	
sample_288	Y	Y	
sample_289	Y	Y	
sample_290	Y	Y	
sample_291	Y	Y	
sample_292	N	N	
sample_293	Y	Y	
sample_294	Y	Y	
sample_295	N	N	
sample_296	N	Y	
sample_297	N	N	
sample_298	Y	Y	
sample_299	Y	Y	
sample_300	N	N	
sample_301	Y	Y	
sample_302	Y	Y	
sample_303	Y	Y	
sample_304	Y	Y	
sample_305	Y	Y	
sample_306	Y	Y	
sample_307	Y	Y	
sample_308	Y	Y	
sample_309	Y	Y	
sample_310	N	N	
sample_311	Y	Y	
sample_312	Y	Y	
sample_313	N	N	
sample_314	N	N	
sample_315	N	N	
sample_316	N	N	
sample_317	N	N	
sample_318	Y	Y	
sample_319	Y	Y	
sample_320	N	N	
sample_321	Y	Y	
sample_322	Y	Y	
sample_323	N	N	
sample_324	N	N	
sample_325	Y	Y	
sample_326	Y	Y	
sample_327	Y	Y	
sample_328	Y	Y	
sample_329	Y	Y	
sample_330	N	N	
sample_331	Y	Y	
sample_332	Y	Y	
sample_333	Y	Y	
sample_334	Y	Y	
sample_335	N	Y	
sample_336	Y	Y	
sample_337	N	N	
sample_338	N	N	
sample_339	Y	Y	
sample_340	N	N	
sample_341	N	Y	
sample_342	Y	Y	
sample_343	N	Y	
sample_344	N	N	
sample_345	N	Y	
sample_346	Y	Y	
sample_347	N	N	
sample_348	Y	Y	
sample_349	Y	Y	
sample_350	N	Y	
sample_351	N	N	
sample_352	N	N	
sample_353	Y	Y	
sample_354	Y	Y	
sample_355	N	Y	
sample_356	N	N	
sample_357	Y	Y	
sample_358	N	N	
sample_359	N	N	
sample_360	N	N	
sample_361	N	N	
sample_362	N	N	
sample_363	N	N	
sample_364	Y	Y	
sample_365	N	N	
sample_366	N	N	
sample_367	Y	Y	
sample_368	N	N	
sample_369	N	Y	
sample_370	N	N	
sample_371	N	N	
sample_372	N	N	
sample_373	Y	Y	
sample_374	N	N	
sample_375	N	N	
sample_376	Y	Y	
sample_377	N	N	
sample_378	Y	Y	
sample_379	N	N	
sample_380	Y	Y	
sample_381	N	N	
sample_382	N	N	
sample_383	N	N	
sample_384	N	N	
sample_385	N	N	
sample_386	Y	Y	
sample_387	N	N	
sample_388	N	N	
sample_389	Y	Y	
sample_390	Y	Y	
sample_391	Y	Y	
sample_392	Y	Y	
sample_393	Y	Y	
sample_394	Y	Y	
sample_395	N	N	
sample_396	N	N	
sample_397	N	N	
sample_398	Y	Y	
sample_399	Y	Y	
sample_400	Y	Y	
sample_401	N	N	
sample_402	Y	Y	
sample_403	Y	Y	
sample_404	N	Y	
sample_405	N	N	
sample_406	N	N	
sample_407	Y	Y	
sample_408	N	N	
sample_409	Y	Y	
sample_410	N	N	
sample_411	Y	Y	
sample_412	Y	Y	
sample_413	Y	Y	
sample_414	Y	Y	
sample_415	Y	Y	
sample_416	Y	Y	
sample_417	N	Y	
sample_418	Y	Y	
sample_419	N	N	
sample_420	Y	Y	
sample_421	Y	Y	
sample_422	N	N	
sample_423	Y	Y	
sample_424	N	N	
sample_425	Y	Y	
sample_426	Y	Y	
sample_427	N	N	
sample_428	N	N	
sample_429	N	Y	
sample_430	Y	Y	
sample_431	Y	Y	
sample_432	N	N	
sample_433	N	N	
sample_434	N	Y	
sample_435	Y	Y	
sample_436	N	N	
sample_437	Y	Y	
sample_438	Y	Y	
sample_439	N	Y	
sample_440	N	N	
sample_441	Y	Y	
sample_442	N	N	
sample_443	N	N	
sample_444	Y	Y	
sample_445	N	N	
sample_446	N	N	
sample_447	Y	Y	
sample_448	Y	Y	
sample_449	Y	Y	
sample_450	N	N	
sample_451	Y	Y	
sample_452	N	N	
sample_453	Y	Y	
sample_454	Y	Y	
sample_455	Y	Y	
sample_456	Y	Y	
sample_457	N	N	
sample_458	N	N	
sample_459	Y	Y	
sample_460	Y	Y	
sample_461	Y	Y	
sample_462	Y	Y	
sample_463	Y	Y	
sample_464	N	N	
sample_465	Y	Y	
sample_466	Y	Y	
sample_467	N	N	
sample_468	Y	Y	
sample_469	Y	Y	
sample_470	Y	Y	
sample_471	Y	Y	
sample_472	Y	Y	
sample_473	N	N	
sample_474	Y	Y	
sample_475	Y	Y	
sample_476	N	N	
sample_477	Y	Y	
sample_478	Y	Y	
sample_479	Y	Y	
sample_480	Y	Y	
sample_481	Y	Y	
sample_482	Y	Y	
sample_483	N	N	
sample_484	Y	Y	
sample_485	N	N	
sample_486	Y	Y	
sample_487	Y	Y	
sample_488	Y	Y	
sample_489	Y	Y	
sample_490	Y	Y	
sample_491	N	N	
sample_492	Y	Y	
sample_493	N	N	
sample_494	Y	Y	
sample_495	Y	Y	
sample_496	N	N	
sample_497	N	N	
sample_498	Y	Y	
sample_499	N	N	
sample_500	Y	Y	
