sample	activity_exp_1	activity_exp_2
sample_119	N	N	
sample_120	Y	Y	
sample_121	N	N	
sample_122	N	N	
sample_123	Y	N	
sample_124	N	N	
sample_125	Y	N	
sample_126	Y	N	
sample_127	Y	Y	
sample_128	N	N	
sample_129	Y	N	
sample_130	N	N	
sample_131	Y	N	
sample_132	N	N	
sample_133	N	N	
sample_134	Y	N	
sample_135	Y	Y	
sample_136	N	N	
sample_137	N	Y	
sample_138	N	N	
sample_139	N	Y	
sample_140	N	N	
sample_141	N	N	
sample_142	Y	N	
sample_143	N	N	
sample_144	Y	N	
sample_145	Y	Y	
sample_146	N	N	
sample_147	Y	N	
sample_148	N	Y	
sample_149	Y	N	
sample_150	N	Y	
sample_151	Y	N	
sample_152	Y	Y	
sample_153	N	Y	
sample_154	Y	N	
sample_155	N	Y	
sample_156	N	N	
sample_157	N	N	
sample_158	N	N	
sample_159	N	Y	
sample_160	Y	Y	
sample_161	Y	N	
sample_162	N	N	
sample_163	Y	N	
sample_164	Y	N	
sample_165	Y	N	
sample_166	Y	N	
sample_167	N	N	
sample_168	Y	N	
sample_169	Y	N	
sample_170	N	Y	
sample_171	Y	Y	
sample_172	Y	Y	
sample_173	Y	N	
sample_174	N	N	
sample_175	N	N	
sample_176	N	N	
sample_177	Y	N	
sample_178	Y	N	
sample_179	Y	N	
sample_180	N	N	
sample_181	Y	N	
sample_182	Y	N	
sample_183	N	N	
sample_184	Y	Y	
sample_185	Y	N	
sample_186	Y	N	
sample_187	Y	N	
sample_188	N	N	
sample_189	Y	N	
sample_190	N	N	
sample_191	Y	Y	
sample_192	N	N	
sample_193	Y	N	
sample_194	N	N	
sample_195	N	N	
sample_196	N	Y	
sample_197	Y	N	
sample_198	Y	N	
sample_199	Y	N	
sample_200	N	N	
sample_201	N	Y	
sample_202	N	N	
sample_203	N	N	
sample_204	Y	Y	
sample_205	N	N	
sample_206	Y	Y	
sample_207	Y	N	
sample_208	N	N	
sample_209	Y	N	
sample_210	Y	N	
sample_211	Y	N	
sample_212	N	N	
sample_213	N	Y	
sample_214	N	Y	
sample_215	N	Y	
sample_216	Y	Y	
sample_217	N	N	
sample_218	N	Y	
sample_219	N	N	
sample_220	N	N	
sample_221	N	N	
sample_222	N	N	
sample_223	Y	N	
sample_224	N	N	
sample_225	N	N	
sample_226	N	N	
sample_227	Y	N	
sample_228	N	N	
sample_229	N	N	
sample_230	N	N	
sample_231	Y	N	
sample_232	Y	N	
sample_233	N	N	
sample_234	Y	Y	
sample_235	N	N	
sample_236	N	Y	
sample_237	Y	N	
sample_238	Y	N	
sample_239	N	N	
sample_240	Y	N	
sample_241	Y	N	
sample_242	N	N	
sample_243	Y	N	
sample_244	Y	N	
sample_245	N	N	
sample_246	Y	Y	
sample_247	Y	N	
sample_248	N	N	
sample_249	N	Y	
sample_250	N	N	
sample_251	Y	N	
sample_252	N	N	
sample_253	N	N	
sample_254	Y	N	
sample_255	Y	N	
sample_256	N	N	
sample_257	N	Y	
sample_258	N	N	
sample_259	N	N	
sample_260	Y	N	
sample_261	N	N	
sample_262	Y	Y	
sample_263	N	N	
sample_264	N	N	
sample_265	N	Y	
sample_266	N	N	
sample_267	Y	N	
sample_268	N	N	
sample_269	N	N	
sample_270	Y	N	
sample_271	Y	N	
sample_272	Y	N	
sample_273	N	N	
sample_274	Y	N	
sample_275	Y	N	
sample_276	Y	N	
sample_277	Y	N	
sample_278	N	N	
sample_279	Y	N	
sample_280	N	N	
sample_281	Y	N	
sample_282	N	N	
sample_283	N	N	
sample_284	Y	N	
sample_285	Y	N	
sample_286	N	N	
sample_287	N	N	
sample_288	N	N	
sample_289	N	N	
sample_290	Y	N	
sample_291	Y	N	
sample_292	N	N	
sample_293	Y	Y	
sample_294	N	Y	
sample_295	Y	N	
sample_296	N	N	
sample_297	N	N	
sample_298	Y	N	
sample_299	N	N	
sample_300	N	N	
sample_301	N	N	
sample_302	Y	Y	
sample_303	Y	N	
sample_304	Y	N	
sample_305	Y	N	
sample_306	Y	Y	
sample_307	Y	N	
sample_308	N	Y	
sample_309	Y	N	
sample_310	N	N	
sample_311	Y	Y	
sample_312	Y	N	
sample_313	N	N	
sample_314	Y	N	
sample_315	Y	N	
sample_316	N	N	
sample_317	N	Y	
sample_318	Y	Y	
sample_319	Y	Y	
sample_320	N	N	
sample_321	N	N	
sample_322	N	Y	
sample_323	Y	N	
sample_324	N	N	
sample_325	Y	N	
sample_326	N	N	
sample_327	N	N	
sample_328	N	N	
sample_329	N	Y	
sample_330	Y	N	
sample_331	N	N	
sample_332	Y	N	
sample_333	N	N	
sample_334	Y	N	
sample_335	N	N	
sample_336	Y	N	
sample_337	N	N	
sample_338	N	Y	
sample_339	N	N	
sample_340	Y	N	
sample_341	Y	N	
sample_342	N	N	
sample_343	Y	Y	
sample_344	Y	N	
sample_345	Y	N	
sample_346	Y	N	
sample_347	Y	N	
sample_348	N	Y	
sample_349	N	Y	
sample_350	Y	N	
sample_351	N	Y	
sample_352	Y	N	
sample_353	N	N	
sample_354	Y	Y	
sample_355	Y	N	
sample_356	Y	N	
sample_357	Y	N	
sample_358	N	N	
sample_359	Y	Y	
sample_360	Y	N	
sample_361	Y	N	
sample_362	Y	Y	
sample_363	N	N	
sample_364	N	N	
sample_365	N	N	
sample_366	N	Y	
sample_367	Y	N	
sample_368	Y	N	
sample_369	N	Y	
sample_370	N	N	
sample_371	Y	N	
sample_372	N	Y	
sample_373	N	Y	
sample_374	N	N	
sample_375	Y	N	
sample_376	Y	N	
sample_377	N	N	
sample_378	N	N	
sample_379	Y	N	
sample_380	Y	Y	
sample_381	N	N	
sample_382	N	N	
sample_383	Y	N	
sample_384	N	N	
sample_385	Y	N	
sample_386	Y	N	
sample_387	Y	Y	
sample_388	Y	Y	
sample_389	N	N	
sample_390	Y	N	
sample_391	N	N	
sample_392	N	N	
sample_393	Y	N	
sample_394	N	N	
sample_395	N	N	
sample_396	Y	Y	
sample_397	Y	N	
sample_398	N	N	
sample_399	N	Y	
sample_400	Y	N	
sample_401	N	Y	
sample_402	N	N	
sample_403	Y	N	
sample_404	Y	N	
sample_405	Y	N	
sample_406	Y	N	
sample_407	Y	N	
sample_408	Y	Y	
sample_409	N	N	
sample_410	N	N	
sample_411	N	N	
sample_412	Y	N	
sample_413	N	Y	
sample_414	Y	N	
sample_415	N	N	
sample_416	N	Y	
sample_417	N	N	
sample_418	N	N	
sample_419	N	N	
sample_420	Y	N	
sample_421	N	N	
sample_422	Y	N	
sample_423	Y	N	
sample_424	Y	N	
sample_425	Y	N	
sample_426	N	N	
sample_427	N	N	
sample_428	N	N	
sample_429	N	N	
sample_430	N	N	
sample_431	N	Y	
sample_432	N	N	
sample_433	Y	N	
sample_434	N	N	
sample_435	Y	N	
sample_436	Y	N	
sample_437	N	N	
sample_438	Y	N	
sample_439	N	N	
sample_440	Y	N	
sample_441	Y	N	
sample_442	Y	N	
sample_443	N	N	
sample_444	Y	N	
sample_445	Y	N	
sample_446	Y	N	
sample_447	N	N	
sample_448	N	N	
sample_449	Y	N	
sample_450	Y	N	
sample_451	N	Y	
sample_452	N	N	
sample_453	N	N	
sample_454	Y	N	
sample_455	Y	N	
sample_456	Y	Y	
sample_457	Y	N	
sample_458	Y	Y	
sample_459	N	N	
sample_460	N	N	
sample_461	N	N	
sample_462	Y	N	
sample_463	Y	N	
sample_464	Y	N	
sample_465	N	N	
sample_466	N	N	
sample_467	Y	Y	
sample_468	Y	Y	
sample_469	N	N	
sample_470	N	N	
sample_471	N	N	
sample_472	Y	N	
sample_473	Y	N	
sample_474	Y	N	
sample_475	Y	Y	
sample_476	N	N	
sample_477	N	N	
sample_478	Y	Y	
sample_479	Y	N	
sample_480	Y	N	
sample_481	N	Y	
sample_482	Y	N	
sample_483	Y	N	
sample_484	Y	N	
sample_485	Y	N	
sample_486	Y	N	
sample_487	N	Y	
sample_488	N	N	
sample_489	N	Y	
sample_490	Y	N	
sample_491	N	N	
sample_492	N	Y	
sample_493	Y	N	
sample_494	Y	N	
sample_495	N	Y	
sample_496	Y	Y	
sample_497	N	N	
sample_498	N	N	
sample_499	N	N	
sample_500	N	N	
