id	chr	gene_length
NM_178422	chr1	9769
NM_152497	chr1	8427
NM_203401	chr1	6037
NM_005563	chr1	6386
NM_203399	chr1	6761
NM_000437	chr1	37334
NM_012234	chr3	72024
NM_004532	chr3	64235
NM_001004434	chr1	8091
NM_032513	chr1	8091
NM_032588	chr1	16324
NM_152835	chr1	13705
NM_015871	chr1	931
NM_006314	chr1	12371
NM_198137	chr1	11914
NM_022778	chr1	44607
NM_183008	chr1	24421
NM_001803	chr1	2603
NM_173574	chr1	11141
NM_024887	chr1	38992
NM_205861	chr1	38992
NM_005517	chr1	3548
NM_002953	chr1	45272
NM_001006665	chr1	29178
NM_031423	chr1	33831
NM_017837	chr1	10401
NM_032283	chr1	29007
NM_006142	chr1	1315
NM_018066	chr1	10997
NM_022078	chr1	9978
NM_021969	chr1	2482
NM_006600	chr1	24664
NM_152365	chr1	10837
NM_001013642	chr1	6947
NM_052943	chr1	7815
NM_003047	chr1	56095
NM_015023	chr1	73577
NM_032125	chr1	14169
NM_032872	chr1	11909
NM_004672	chr1	11668
NM_003665	chr1	5713
NM_173452	chr1	5713
NM_005281	chr1	3164
NM_006990	chr1	84544
NM_001029882	chr1	68921
NM_152660	chr1	35625
NM_177424	chr1	51032
NM_002713	chr1	20891
NM_014110	chr1	20891
NM_138558	chr1	20891
NM_001039477	chr1	14138
NM_004848	chr1	14138
NM_002946	chr1	23187
NM_001009568	chr1	21487
NM_014474	chr1	24159
NM_018053	chr1	8101
NM_001990	chr1	114313
NM_000952	chr1	27328
NM_016311	chr1	1999
NM_178190	chr1	1999
NM_178191	chr1	1999
NM_031459	chr1	22996
NM_017638	chr1	6927
NM_001048199	chr1	33112
NM_152304	chr1	2375
NM_005644	chr1	39973
NM_006582	chr1	46142
NM_024482	chr1	46142
NM_000911	chr1	51555
NM_004437	chr1	233331
NM_203342	chr1	233331
NM_203343	chr1	233331
NM_014571	chr1	16245
NM_005626	chr1	33997
NM_001024732	chr1	38070
NM_016011	chr1	38070
NM_015466	chr3	32441
NM_133178	chr1	90269
NM_002379	chr1	10890
NM_006762	chr1	25352
NM_014654	chr1	35499
NM_001020658	chr1	134212
NM_014676	chr1	134212
NM_024522	chr1	8408
NM_016505	chr1	67939
NM_004102	chr1	7824
NM_178865	chr1	21562
NM_022164	chr1	11126
NM_001525	chr1	8074
NM_012392	chr1	15007
NM_144569	chr1	25556
NM_080391	chr1	30196
NM_080392	chr1	30196
NM_006559	chr1	29981
NM_018056	chr1	29937
NM_175852	chr1	18541
NM_018134	chr1	3017
NM_003757	chr1	9234
NM_004964	chr1	41517
NM_023009	chr1	2383
NM_052841	chr1	2061
NM_018045	chr1	29241
NM_178547	chr1	28879
NM_005610	chr1	29429
NM_030786	chr1	14896
NM_003680	chr1	42794
NM_001017406	chr1	17490
NM_022753	chr1	41300
NM_153756	chr1	8471
NM_002143	chr1	8149
NM_033504	chr1	6758
NM_153341	chr1	27668
NM_013411	chr1	28907
NM_001625	chr1	23889
NM_052998	chr1	39281
NM_018207	chr1	36264
NM_152493	chr1	44147
NM_003035	chr1	64009
NM_004814	chr1	37230
NM_004427	chr1	26276
NM_145238	chr1	23735
NM_145205	chr1	4316
NM_001008728	chr1	761
NM_032884	chr1	41459
NM_005268	chr1	3392
NM_153212	chr1	1150
NM_024009	chr1	5175
NM_001005752	chr1	4056
NM_002060	chr1	2748
NM_138428	chr1	6222
NM_005066	chr1	9533
NM_005095	chr1	152977
NM_024874	chr1	123913
NM_182686	chr1	118862
NM_001014839	chr1	8986
NM_001014841	chr1	8986
NM_014284	chr1	8986
NM_178548	chr1	21955
NM_002794	chr1	38404
NM_152374	chr1	5314
NM_022111	chr1	33732
NM_017629	chr1	47361
NM_012199	chr1	41088
NM_024852	chr1	125291
NM_177422	chr1	125291
NM_014466	chr1	4200
NM_017825	chr1	5047
NM_005202	chr1	5005
NM_014408	chr1	12893
NM_018067	chr1	24634
NM_005119	chr1	80111
NM_024676	chr1	17767
NM_018166	chr1	2124
NM_032017	chr1	46261
NM_032881	chr1	4463
NM_145047	chr1	32545
NM_206837	chr1	22152
NM_031280	chr1	8597
NM_000760	chr1	16865
NM_156038	chr1	16865
NM_156039	chr1	16865
NM_172313	chr1	16865
NM_000831	chr1	233231
NM_025079	chr1	9824
NM_022756	chr1	22189
NM_024700	chr1	17759
NM_003462	chr1	9938
NM_013285	chr1	29079
NM_001038633	chr1	23541
NM_017850	chr1	8943
NM_018101	chr1	17231
NM_001004338	chr1	42803
NM_173641	chr1	4832
NM_001031740	chr1	7030
NM_152496	chr1	6061
NM_024640	chr1	5252
NM_198446	chr1	1158
NM_006802	chr1	33108
NM_004468	chr1	8791
NM_016037	chr1	11078
NM_022157	chr1	20320
NM_012333	chr1	10414
NM_030772	chr1	7551
NM_017821	chr1	55978
NM_024595	chr1	14063
NM_004552	chr1	8281
NM_012090	chr1	405672
NM_033044	chr1	155980
NM_003819	chr1	15929
NM_032526	chr1	12918
NM_016257	chr1	12438
NM_006112	chr1	14849
NM_203457	chr1	14849
NM_203456	chr1	25056
NM_001720	chr1	30631
NM_022120	chr1	1823
NM_017646	chr1	42450
NM_001033081	chr1	6590
NM_001033082	chr1	6590
NM_005376	chr1	2402
NM_032793	chr1	14818
NM_006367	chr1	31893
NM_000310	chr1	24585
NM_012421	chr1	79531
NM_001008740	chr1	3791
NM_001852	chr1	16777
NM_022733	chr1	49265
NM_023070	chr1	13574
NM_022774	chr1	7780
NM_152373	chr1	16607
NM_014747	chr1	44973
NM_014223	chr1	79909
NM_004700	chr1	54677
NM_172163	chr1	54677
NM_133467	chr1	1290
NM_001905	chr1	32786
NM_144990	chr1	6119
NM_001031694	chr1	134172
NM_012236	chr1	214912
NM_001956	chr1	5849
NM_007102	chr1	2404
NM_033553	chr1	2034
NM_014947	chr1	158693
NM_173642	chr1	34362
NM_032257	chr1	25833
NM_006347	chr1	18381
NM_148960	chr1	7162
NM_022356	chr1	20638
NM_024097	chr1	8471
NM_199342	chr1	10191
NM_001017922	chr1	27885
NM_018538	chr1	19412
NM_015911	chr1	5865
NM_006516	chr1	32983
NM_006824	chr1	8076
NM_152498	chr1	38524
NM_144626	chr1	3266
NM_182517	chr1	3681
NM_005424	chr1	22115
NM_005373	chr1	16660
NM_022821	chr1	4627
NM_001001651	chr1	5895
NM_052877	chr1	5895
NM_201542	chr1	5895
NM_001001653	chr1	5086
NM_001001654	chr1	5086
NM_001012961	chr1	17009
NM_182518	chr1	22907
NM_001012960	chr1	39605
NM_015284	chr1	29508
NM_031207	chr1	3090
NM_198555	chr2	5029
NM_144714	chr3	32312
NM_006279	chr1	223613
NM_174963	chr1	223613
NM_174964	chr1	223613
NM_174965	chr1	223613
NM_174966	chr1	223613
NM_174967	chr1	223613
NM_174968	chr1	223613
NM_174969	chr1	223613
NM_174970	chr1	223613
NM_174971	chr1	223613
NM_057091	chr1	3893
NM_003976	chr1	1854
NM_057090	chr1	1584
NM_057160	chr1	1231
NM_014652	chr1	20782
NM_001039589	chr1	3391
NM_001384	chr1	3391
NM_001039457	chr1	3370
NM_004047	chr1	3370
NM_003780	chr1	11974
NM_001005417	chr1	10657
NM_152499	chr1	4917
NM_006934	chr1	20842
NM_201649	chr1	20842
NM_001024845	chr1	34979
NM_001034023	chr1	7227
NM_001034024	chr1	7227
NM_019100	chr1	7227
NM_024066	chr1	134197
NM_018150	chr1	246437
NM_024587	chr1	20598
NM_001004307	chr1	50868
NM_006845	chr1	27856
NM_001012	chr1	3166
NM_004073	chr1	5631
NM_001013632	chr1	1368
NM_003738	chr1	20529
NM_020365	chr1	135833
NM_024602	chr1	8587
NM_000374	chr1	3512
NM_032756	chr1	1800
NM_001048171	chr1	11229
NM_025077	chr1	4032
NM_015506	chr1	10736
NM_002574	chr1	10902
NM_181696	chr1	10902
NM_181697	chr1	10902
NM_006066	chr1	19223
NM_153326	chr1	19223
NM_002482	chr1	34851
NM_152298	chr1	34851
NM_172164	chr1	34851
NM_021639	chr1	33831
NM_005897	chr1	47725
NM_003629	chr1	92501
NM_005727	chr1	5419
NM_001013615	chr1	68320
NM_003579	chr1	30729
NM_006369	chr1	24966
NM_006004	chr1	13066
NM_199044	chr1	24301
NM_001441	chr1	19521
NM_147192	chr1	7217
NM_172225	chr1	7217
NM_182516	chr1	4369
NM_003684	chr1	46796
NM_198973	chr1	35566
NM_145279	chr1	7414
NM_201403	chr1	9115
NM_014774	chr1	43904
NM_000779	chr1	20344
NM_000778	chr1	12570
NM_178033	chr1	27183
NM_178134	chr1	50833
NM_001010969	chr1	11420
NM_005764	chr1	6511
NM_003189	chr1	13480
NM_016308	chr1	44923
NM_004474	chr1	4674
NM_001011547	chr1	25913
NM_019073	chr1	173568
NM_032785	chr1	461845
NM_024603	chr1	48962
NM_021952	chr1	92417
NM_007051	chr1	519002
NM_001262	chr1	5939
NM_014372	chr1	37239
NM_001981	chr1	165060
NM_024586	chr1	171373
NM_148906	chr1	171373
NM_148908	chr1	171373
NM_148909	chr1	171373
NM_148904	chr1	58644
NM_148905	chr1	58644
NM_148907	chr1	58614
NM_002525	chr1	89540
NM_002867	chr1	71512
NM_015913	chr1	35241
NM_138417	chr1	1696
NM_152265	chr1	32090
NM_007323	chr1	121673
NM_004799	chr1	204312
NM_007324	chr1	204312
NM_032449	chr1	15598
NM_004153	chr1	31630
NM_032864	chr1	13615
NM_032284	chr1	12397
NM_001009881	chr1	129794
NM_001009882	chr1	129794
NM_015269	chr1	129794
NM_015696	chr1	6679
NM_023077	chr1	11525
NM_024646	chr1	99145
NM_018281	chr1	25494
NM_001007098	chr1	66955
NM_002979	chr1	124335
NM_001007099	chr1	36673
NM_001007100	chr1	36673
NM_001007250	chr1	36673
NM_153703	chr1	23289
NM_006671	chr1	55394
NM_000098	chr1	17767
NM_017887	chr1	6516
NM_002370	chr1	11642
NM_033300	chr1	82610
NM_001018054	chr1	82510
NM_004631	chr1	82510
NM_017522	chr1	82510
NM_033067	chr1	8087
NM_147193	chr1	227972
NM_018087	chr1	70786
NM_018982	chr1	38047
NM_000792	chr1	16898
NM_001039715	chr1	16898
NM_001039716	chr1	16898
NM_213593	chr1	16898
NM_052940	chr1	21803
NM_001010978	chr1	9298
NM_004872	chr1	21761
NM_153035	chr1	46143
NM_201546	chr1	14776
NM_001031672	chr1	13859
NM_016491	chr1	18211
NM_018070	chr1	179784
NM_145716	chr1	179784
NM_001034847	chr1	1026
NM_147161	chr1	62100
NM_015547	chr1	86517
NM_176782	chr1	14345
NM_001039464	chr1	68496
NM_004623	chr1	26425
NM_152268	chr1	7615
NM_017904	chr1	16647
NM_152607	chr1	36188
NM_152263	chr1	30320
NM_182532	chr1	11501
NM_057176	chr1	9848
NM_174936	chr1	25304
NM_207465	chr1	153966
NM_003713	chr1	84823
NM_177414	chr1	84823
NM_006252	chr1	63102
NM_001004303	chr1	100567
NM_000562	chr1	63416
NM_000066	chr1	36804
NM_021080	chr1	1252633
NM_145243	chr1	66055
NM_002353	chr1	2803
NM_002228	chr1	3321
NM_018291	chr1	465659
NM_006621	chr1	39056
NM_000775	chr1	33443
NM_152377	chr1	83360
NM_005595	chr1	373735
NM_032027	chr1	44377
NM_018218	chr2	85702
NM_012102	chr1	465234
NM_001042704	chr1	12059
NM_019079	chr1	16683
NM_181712	chr1	82263
NM_001017415	chr1	15499
NM_001017416	chr1	15499
NM_003368	chr1	15091
NM_033407	chr1	233571
NM_014495	chr1	7994
NM_032852	chr1	80247
NM_178221	chr1	80247
NM_012183	chr1	1437
NM_013339	chr1	69579
NM_014288	chr1	82374
NM_032437	chr1	49096
NM_002633	chr1	66968
NM_005012	chr1	404994
NM_152489	chr1	40538
NM_001255	chr1	4246
NM_018211	chr1	88135
NM_203464	chr1	79942
NM_001005353	chr1	79661
NM_013410	chr1	79288
NM_001002921	chr1	77768
NM_014787	chr1	151123
NM_001003680	chr1	209776
NM_001003679	chr1	214793
NM_002303	chr1	216503
NM_017526	chr1	11931
NM_001037341	chr1	582069
NM_002600	chr1	581406
NM_001037340	chr1	381872
NM_001037339	chr1	42469
NM_152665	chr1	26329
NM_005478	chr1	3515
NM_024763	chr1	111998
NM_207014	chr1	87283
NM_001077700	chr1	63661
NM_015139	chr1	49877
NM_001013674	chr1	36362
NM_144701	chr1	93480
NM_001559	chr1	89536
NM_001018067	chr1	22629
NM_001018068	chr1	22629
NM_001018069	chr1	22629
NM_015640	chr1	22629
NM_001924	chr1	3137
NM_004675	chr1	4814
NM_001002292	chr1	134102
NM_024911	chr1	107212
NM_000329	chr1	21136
NM_017779	chr1	21769
NM_020888	chr1	33060
NM_017768	chr1	60779
NM_004768	chr1	46319
NM_030816	chr1	92855
NM_001031693	chr1	13211
NM_001036645	chr1	13211
NM_001036646	chr1	13211
NM_007071	chr1	13211
NM_001902	chr1	28298
NM_153742	chr1	28298
NM_000957	chr1	195456
NM_198712	chr1	195456
NM_198713	chr1	195456
NM_198714	chr1	195456
NM_198716	chr1	195456
NM_198717	chr1	195456
NM_198718	chr1	95377
NM_198719	chr1	77028
NM_198715	chr1	41954
NM_005455	chr1	17771
NM_203350	chr1	17771
NM_173808	chr1	879652
NM_145258	chr1	18236
NM_003838	chr1	9195
NM_015978	chr1	309024
NM_001002912	chr1	105627
NM_001889	chr1	27544
NM_138467	chr1	32469
NM_001001933	chr1	33098
NM_152697	chr1	404487
NM_000016	chr1	38902
NM_004582	chr1	8879
NM_002440	chr1	116294
NM_080868	chr1	13557
NM_152996	chr1	556229
NM_030965	chr1	196550
NM_174858	chr1	277911
NM_012093	chr1	277366
NM_015534	chr1	118153
NM_015017	chr1	63862
NM_201624	chr1	63862
NM_201626	chr1	48198
NM_198549	chr1	98769
NM_001039463	chr1	8192
NM_003902	chr1	31185
NM_007034	chr1	12358
NM_017655	chr1	91523
NM_000959	chr1	49658
NM_001039585	chr1	49658
NM_006820	chr1	21921
NM_006417	chr1	14242
NM_012302	chr1	192025
NM_207578	chr1	127233
NM_002731	chr1	160435
NM_182948	chr1	94228
NM_001010971	chr1	52431
NM_021233	chr1	16477
NM_058248	chr1	6658
NM_025065	chr1	18404
NM_005274	chr1	8152
NM_022354	chr1	46755
NM_004388	chr1	19877
NM_001033660	chr1	6791
NM_014021	chr1	46582
NM_012152	chr1	52342
NM_153259	chr1	71530
NM_018298	chr1	30404
NM_145172	chr1	70813
NM_198077	chr1	7670
NM_012137	chr1	146655
NM_001554	chr1	2930
NM_017953	chr1	55610
NM_001007022	chr1	47583
NM_020729	chr1	47583
NM_006536	chr1	32414
NM_012128	chr1	33670
NM_004261	chr1	51978
NM_203341	chr1	51978
NM_012262	chr1	195303
NM_207357	chr1	2621
NM_006769	chr1	17100
NM_001514	chr1	38638
NM_001008661	chr1	57061
NM_001008662	chr1	57061
NM_019610	chr1	12395
NM_002053	chr1	12886
NM_004120	chr1	18490
NM_207398	chr1	44254
NM_052941	chr1	17105
NM_052942	chr1	12267
NM_198460	chr1	22403
NM_015350	chr1	34944
NM_032270	chr1	81820
NM_018103	chr1	114047
NM_182976	chr1	33102
NM_182975	chr1	11319
NM_181781	chr1	33101
NM_020063	chr1	5215
NM_016620	chr1	106171
NM_032186	chr1	106812
NM_201269	chr1	106812
NM_198550	chr1	91873
NM_003503	chr1	24870
NM_003243	chr1	203669
NM_207189	chr1	64852
NM_001726	chr1	62238
NM_173567	chr1	33536
NM_183242	chr1	67501
NM_001012425	chr1	27794
NM_024813	chr1	89123
NM_005263	chr1	12112
NM_005665	chr1	283708
NM_000969	chr1	9887
NM_001006605	chr1	128561
NM_007358	chr1	58281
NM_016040	chr1	28836
NM_206886	chr1	98347
NM_001938	chr1	16669
NM_001024948	chr1	106378
NM_017737	chr1	106378
NM_003567	chr1	120036
NM_014597	chr1	9405
NM_002061	chr1	22423
NM_004815	chr1	65296
NM_002858	chr1	100074
NM_001993	chr1	12443
NM_152369	chr1	74432
NM_001839	chr1	30194
NM_144988	chr1	90187
NM_152487	chr1	75891
NM_015485	chr1	13007
NM_021190	chr1	92969
NM_015976	chr1	98842
NM_152238	chr1	98637
NM_001010861	chr1	114647
NM_001037317	chr1	114647
NM_014839	chr1	45237
NM_017734	chr1	48655
NM_001013660	chr1	57091
NM_002958	chr3	93609
NM_020166	chr3	84358
NM_080544	chr3	71618
NM_015444	chr3	1858
NM_170713	chr3	7679
NM_001005861	chr3	93609
NM_080542	chr3	71618
NM_080543	chr3	71618
NM_005677	chr3	71618
NM_080539	chr3	71618
NM_080540	chr3	71618
NM_080541	chr3	71618
NM_012243	chr1	53467
NM_033055	chr1	45139
NM_194292	chr1	49408
NM_019083	chr1	17335
NM_144620	chr1	29359
NM_003729	chr1	25565
NM_033313	chr1	132240
NM_033312	chr1	146968
NM_003672	chr1	167786
NM_001078	chr1	19303
NM_080682	chr1	19303
NM_001033025	chr1	22478
NM_001439	chr1	22478
NM_133496	chr1	83315
NM_001400	chr1	4619
NM_058170	chr1	194414
NM_016577	chr3	71610
NM_019118	chr1	6127
NM_001039954	chr1	316
NM_017619	chr1	58215
NM_020978	chr1	24826
NM_000699	chr1	8395
NM_001008221	chr1	9032
NM_004038	chr1	8871
NM_001008219	chr1	8870
NM_001008218	chr1	8848
NM_001008218	chr1	8849
NM_001008219	chr1	8871
NM_004038	chr1	8872
NM_001008221	chr1	9033
NM_001008221	chr1	9032
NM_004038	chr1	8871
NM_001008219	chr1	8870
NM_001008218	chr1	8848
NM_018137	chr1	2506
NM_014917	chr1	341727
NM_213651	chr1	57915
NM_013386	chr1	65450
NM_001010883	chr1	78850
NM_144584	chr1	13225
NM_018061	chr1	9026
NM_173532	chr1	20333
NM_013296	chr1	53192
NM_015127	chr1	33982
NM_014969	chr1	71899
NM_005645	chr1	11627
NM_020141	chr1	6151
NM_020775	chr1	89321
NM_006513	chr1	24246
NM_001408	chr1	25732
NM_001005290	chr1	3593
NM_001032290	chr1	3593
NM_001032291	chr1	3593
NM_032636	chr1	3593
NM_001010985	chr1	14677
NM_002959	chr1	88372
NM_002790	chr1	24560
NM_182580	chr1	4756
NM_020703	chr1	2858
NM_031936	chr1	5949
NM_006496	chr1	45675
NM_139156	chr1	12219
NM_004037	chr1	11402
NM_203404	chr1	6629
